Country,Date,Search_Index
Iran,2021-03-28,67.0
Iran,2021-04-04,78.0
Iran,2021-04-11,65.0
Iran,2021-04-18,55.0
Iran,2021-04-25,57.0
Iran,2021-05-02,63.0
Iran,2021-05-09,84.0
Iran,2021-05-16,82.0
Iran,2021-05-23,79.0
Iran,2021-05-30,68.0
Iran,2021-06-06,63.0
Iran,2021-06-13,79.0
Iran,2021-06-20,96.0
Iran,2021-06-27,90.0
Iran,2021-07-04,73.0
Iran,2021-07-11,83.0
Iran,2021-07-18,90.0
Iran,2021-07-25,84.0
Iran,2021-08-01,76.0
Iran,2021-08-08,84.0
Iran,2021-08-15,82.0
Iran,2021-08-22,93.0
Iran,2021-08-29,75.0
Iran,2021-09-05,85.0
Iran,2021-09-12,82.0
Iran,2021-09-19,77.0
Iran,2021-09-26,62.0
Iran,2021-10-03,69.0
Iran,2021-10-10,78.0
Iran,2021-10-17,78.0
Iran,2021-10-24,63.0
Iran,2021-10-31,67.0
Iran,2021-11-07,100.0
Iran,2021-11-14,77.0
Iran,2021-11-21,70.0
Iran,2021-11-28,82.0
Iran,2021-12-05,84.0
Iran,2021-12-12,77.0
Iran,2021-12-19,49.0
Iran,2021-12-26,66.0
Iran,2022-01-02,68.0
Iran,2022-01-09,59.0
Iran,2022-01-16,78.0
Iran,2022-01-23,76.0
Iran,2022-01-30,66.0
Iran,2022-02-06,64.0
Iran,2022-02-13,72.0
Iran,2022-02-20,66.0
Iran,2022-02-27,69.0
Iran,2022-03-06,80.0
Iran,2022-03-13,66.0
Iran,2022-03-20,81.0
Iran,2022-03-27,96.0
Iran,2022-04-03,89.0
Iran,2022-04-10,95.0
Italy,2020-01-26,77.0
Italy,2020-02-02,76.0
Italy,2020-02-09,76.0
Italy,2020-02-16,76.0
Italy,2020-02-23,78.0
Italy,2020-03-01,69.0
Italy,2020-03-08,46.0
Italy,2020-03-15,38.0
Italy,2020-03-22,34.0
Italy,2020-03-29,33.0
Italy,2020-04-05,35.0
Italy,2020-04-12,37.0
Italy,2020-04-19,39.0
Italy,2020-04-26,40.0
Italy,2020-05-03,39.0
Italy,2020-05-10,41.0
Italy,2020-05-17,42.0
